,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1649,9289,Chainswap,ASAP,chainswap,3,2021-04-19T00:00:00.000Z,"['smart-contracts', 'dapp', 'okex-blockdream-ventures-portfolio', 'bnb-chain']",100000000.0,20484162.16072268,100000000.0,,1650,,,,2022-08-29T15:16:00.000Z,0.02606533478770547,0.0,0.0,0.0,0.0,-5.67681843,13.74344285,115.91517886,61.37596736,533926.544564885,0.0,2606533.48,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xcc665390b03c5d324d8faf81c15ecee29a73bcb4,2022-08-29 15:20:33.561117
1650,13,Ixcoin,IXC,ixcoin,2,2013-05-08T00:00:00.000Z,"['pow', 'sha-256']",,21286209.00000002,21286209.00000002,,1651,,,,2022-08-29T15:16:00.000Z,0.025033917660408526,0.0,0.0,-0.10382503,1.2627772,-10.47640294,-33.00820246,-57.12147766,-37.84932371,532877.2034082473,0.0001,532877.2,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
1651,7638,Apollon Limassol,APL,apollon-limassol,1,2020-11-10T00:00:00.000Z,"['sports', 'fan-token']",,329307.0,1000000.0,,1652,,,,2022-08-29T15:16:00.000Z,1.616207161722278,236138.67381528,-0.7108,0.78489551,-2.01220859,5.55243858,41.71959144,77.40555791,38.19508274,532228.3318052782,0.0,1616207.16,,2022-08-29T15:16:00.000Z,4066.0,Chiliz,CHZ,chiliz,0xad2b16869e9822943745d17e6bf49ff8ba46bdcb,2022-08-29 15:20:33.561117
1652,7826,Zoracles,ZORA,zoracles,4,2020-12-01T00:00:00.000Z,"['oracles', 'social-money', 'governance']",10000.0,5463.0,10000.0,,1653,4748.0,461030.8997728553,,2022-08-29T15:16:00.000Z,97.1000210136595,36247.7057351,-7.044,-7.73647967,-19.89597605,19.64740388,371.34621209,739.88791837,272.54701553,530457.4147976219,0.0,971000.21,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xD8E3FB3b08eBA982F2754988d70D57eDc0055ae6,2022-08-29 15:20:33.561117
1653,720,Crown,CRW,crown,6,2014-11-08T00:00:00.000Z,"['mineable', 'pos', 'sha-256', 'collectibles-nfts', 'masternodes']",42000000.0,30423643.08542473,30423643.08542473,,1654,,,,2022-08-29T15:16:00.000Z,0.017423966518607316,266.08069742,108.4632,0.00637989,19.38145693,-7.21890071,38.00184541,7.08753764,-47.4850228,530100.5384944994,0.0001,731806.59,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
1654,8162,AME Chain,AME,amepay,5,2021-01-02T00:00:00.000Z,[],1500000000.0,250000000.0,500000000.0,,1655,,,,2022-08-29T15:16:00.000Z,0.002116975564953685,83483.10865837,30.5419,1.29994806,5.8006091,-2.56141425,-14.14477964,-20.78887398,-57.83096916,529243.8912384213,0.0,3175463.35,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x12513335ffD5DAfc2334e98625d27c1CA84bff86,2022-08-29 15:20:33.561117
1655,4430,VNX,VNXLU,vnx,3,2019-12-10T00:00:00.000Z,[],,28104700.0,80000000.0,,1656,,,,2022-08-29T15:16:00.000Z,0.018775438245306395,597.19271019,1.3224,-0.10382503,1.2627772,-5.06166925,-32.56746695,-6.58607633,-84.15157755,527678.0592528627,0.0,1502035.06,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x00fc270c9cc13e878ab5363d00354bebf6f05c15,2022-08-29 15:20:33.561117
1656,7885,Katalyo,KTLYO,katalyo,3,2020-12-07T00:00:00.000Z,[],85000000.0,10695603.584287,85000000.0,,1657,10695604.0,525744.0986162156,,2022-08-29T15:16:00.000Z,0.0491551574475098,215396.31756145,2.0699,0.00997369,0.3167976,5.42418591,67.14078367,178.01187971,40.53137781,525744.0781817776,0.0,4178188.38,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x24E3794605C84E580EEA4972738D633E8a7127c8,2022-08-29 15:20:33.561117
1657,10622,XCarnival,XCV,xcarnival,16,2021-10-21T00:00:00.000Z,"['collectibles-nfts', 'defi', 'gaming', 'play-to-earn', 'bnb-chain']",1000000000.0,50331385.0,1000000000.0,,1658,50331385.0,525652.3088863328,,2022-08-29T15:16:00.000Z,0.010443827621400302,5501770.27101497,-0.2423,-0.01322424,-2.28012019,-0.50323891,-8.05063513,-10.41572924,0.95140409,525652.3088863328,0.0,10443827.62,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x493CbBd4A5da462E3dbc3E5c8e2A1E37D1D03CAc,2022-08-29 15:20:33.561117
1658,10824,Hertz Network,HTZ,hertz-network,8,2021-07-10T00:00:00.000Z,[],14000000000.0,5238410649.0,14000000000.0,,1659,,,,2022-08-29T15:16:00.000Z,0.00010000084722155493,189.04220239,-87.588,-0.00599176,81.64655178,83.50247061,18.95053155,49.80835415,8.86770967,523845.5029944154,0.0,1400011.86,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
